25   10    0    7    0    7   10   10   10   10   10    1   10
26   10   10    0   10   10    5   10    7    2   10   10   10
27   10   10   10   10   10    0   10   10   10    0   10    1
28   10   10   10   10    0    0   10    9    6    1   10   10
29   10  -999   0   10   10   10    3    9    7    0   10   10
30   10  -999   8    7    4    5    2    7   10    8    3   10
31    0  -999   5  -999  10  -999   6    4  -999  11  -999  10

1918
1     2   10    0    3   10    4   10   10    9   10   10   10
2     3   10    1    0   10    5    2   10    0   10   10   10
3     0    8    0    0   10    6    2    7    4   10    0   10
4    10   10   10   10    3    5    5    9    2   10   10    3
5    10    0   10    3    8    4   10   10    3   10    0    8
6     8    8    1    9   10   10   10   10   10    0    0   10
7    10    0    5   10    5    8    8    6   10    9   10    9
8     0    4   10   10   10   10   10    7    0    1    0    0
9     0    0   10   10    0   10   10    6   10   10   10    0
10    4   10    9   10    6    5   10   10    1    0    7    3
11    8   10   10    4    6    9    8    2    3    3    0   10
12    0   10    0    7   10   10    6    9    4    4    9   10
13    0   10    0   10   10   10    5    1    6   10    6    5
14   10   10   10    7   10    6   10    4   10    7    2    9
15   10   10    1    0    9    7    7    7   10    3    0    0
16    2    1   10    0    3   10    8   10    1    8    0    5
17   10   10    4    0    1   10   10   10    3   10    9   10
18   10   10    6    7    4   10    2    9    7   10    9   10
19   10   10    2   10    7    9    9   10    5   10   10   10
20   10    0    9    9   10    5   10   10    1    9    9    7
21   10   10    1    3    3    6    7    9    4   10    2   10
22    8   10    1    0    9    4    7    5    8    9   10   10
23   10   10    1    0   10   10    3    6    8    2   10    3
24    5    1    9    0    2    5    3    9    1   10   10    5
25   10    7    0    0    3    9    9   10    9    8    2    5
26   10    5    6    0    3    9    1    9    0   10   10   10
27   10   10   10    0   10   10    6   10    0    8   10   10
28   10    0   10    1    5   10    5    8    0   10   10   10
29   10  -999   1    0    5   10    9    9    1    8    1    1
30    0  -999  10    5    5    1    5    8    3    5   10    0
31    0  -999  10  -999   3  -999   3    0  -999  11  -999  10

1919
1    10   10    8    0   10    7    1   10   10    0    7   10
2    10   10   10   10   10    0    1    8    0    0   10    9
3    11   10    0    9    8   10    8    9    1   10    6    5
4    11   10   10    9    7   10    4   10    0   10    8    2
5    10   10    0   10    0    9    0    2    5   10   10    0
6    10   10   10    8    7    5   10    1    9   10   10    3
7    10   10   10   10    0    8    8    8    3    8   10    0
8    10    0   10    5    2    1    0    6    4    0    0   10
9    10    0    6    1    7    1    2    8    3    9   10   10
10    1    0    5   10    7   10   10    5    0    7    0   10
11   11    1   10    4    6   10    4    0   10   10    2    1
12    8   10    0    8    6   10    4    6   10    2    2    2
13   10    3    0    4   10    3   10   10   10    4    0    0
14    8   10    9   10   10    5   10    0    0    0    0   10
15    0   10    1    3    5   10   10    1    0    2    0   10
16    5   10    8    8    0    7    5    8    0   10   10   10
17    0    8   10   10   10    4   10   10    9    5    6    8
18   10    8   10   10    0   10   10    3    5    8    6    6
19   11   10    5    0    2    8    8   10   10    7    9   10
20   10   10    8    0   10   10    3    2    3    7    8   10
21   10   10    2    2   10    2   10   10   10    6   10    2
22    9    8    0    0    3    8    6   10    1   10   10   10
23   10    0   10    9   10    8   10    7    2   10   10    3
24   10    2    3    3    8   10    6   10   10    3    8    8
25   10    0    0    9   10    2    1   10   10    2    2    0
26    3    9   10    3    0   10    9   10    0    0    2   10
27   10    0    7    2    0   10    8    0    0    9    0    9
28    0    0   10    2    2    4    9   10    0    6    7   10
29   10  -999   1    9    3    8    4    1   10    8    0   10
30    9  -999   6   10    0   10    0    0   10   10    7   10
31   10  -999  10  -999   5  -999  10   10  -999  10  -999   6

1920
1     0   10   10   10   10   10   10    6   10    6   10   10
2    10    5    0   10   10    8    6    6   10    0   10   10
3    10    8   10   10    2   10    4    8   10   10   10    2
4     0    0   10   10   10    0    2   10    8    3    9    0
5     4   10   10    4   10    1   10   10   10    1   10    0
6    10   10    6   10   10    4    9   10   10   10   10   10
7    10    5   10    0    0    0   10   10   10    0   10   10
8    10    0   10    5    4    0   10    9   10    0   10    0
9    10   10    0   10    5    0    9   10    0    0   10   10
10    9    8    0   10   10    9    7    2    5    0    0    0
11   10    0   10   10   10    7   10   10   10   10   10    9
12   10   10    0    9    1   10    5    4   10   10   10   10
13   10   10    5   10   10    6    3    9    2   10    5    9
14    8   10   10   10    1   10    5    0   10   10   10   10
15   10    0    4   10    8   10    3   10    1    5    6   10
16    8    9   10    2   10    9    9    0   10   10    5    1
17    1   10   10    0   10    9    6   10    8    0   10    3
18   10   10    0   10   10    7    0    0    5    4   10    2
19    5   10    2    4    2   10   10    0    0   10    8   10
20   10    0   10    5    5    0    3   10    0    8   10   10
21   10    0   10   10   10   10    2   10    1    1    5   10
22    5    9   10    4    9   10    9   10    0    5    0    2
23   10    9   10   10    0    9    8   10    0    6    0   10
24    0   10   10    4    1   10    4   10    7    0    9    5
25   10    2    0   10    4   10   10   10   10    0   10    3
26    2   10    6   10   10    2    0    0    2    0   10   10
27    2   10   10    6    9   10   10    0    5    0   10   10
28    4    8   10    1   10    5   10    0    3    0   10    4
29    8   10    4    2   10   10    8    0    1    0   10   10
30   10  -999   3    1    8    7    9    0   10   10   10   10
31    5  -999  10  -999  10  -999  10   10  -999  10  -999   1

1921
1    10    5    3    9    0   10    2   10   10   10   10   10
2     0    7    5    2    8    0    5    2   10   10   10   10
3     7   10   10    8   10    0    1   10    4   10   10   10
4     2   10   10   10    0    7    0   10   10    6   10   10
5    10   10   10   10   10    2    4   10    5    9   10   10
6     0   10    0   10   10    0    9    3    1    3    0    8
7     1   10   10    0    8   10   10    6   10   10   10   10
8    10    0   10    0    8    1    8    3   10   10    5   10
9    10    8    9   10    5    9    2   10   10   10   10   10
10    2    2    3    2   10   10    1    9    0    8    9    6
11    6   10    0    0    9    5    4   10   10   10    4    4
12   10   10   10    0    0    9    0   10   10    8    7    8
13    0   10    0   10    8   10    6    9   10   10   10    5
14    3   10    0    3    4    0    1    8    3    2   10    1
15   10   10   10    9    0    0   10    2    0   10   10    6
16    6   10    1   10    1    3    5   10    7    9   10   10
17   10    5   10   10    0   10    2   10   10   10    5   10
18   10    0    5    0   10    7   10   10    3   10    0   10
19   10   10    0    2    4   10    6    0   10    0   10   10
20   10   10   10   10    7   10    8   10    7    5   10   10
21   10    0   10    0   10   10   10   10   10   10   10   10
22    5   10    9   10    0   10   10   10   10    6   10    7
23    8    8   10    0    0   10    0   10   10    1   10    0
24    6   10   10    0    0   10   10   10    0   10    2   10
25   10    0    9   10   10    1    2    8    5    0    5    5
26    2   10    0    0    0    9    3   10    0    5    0    6
27   10   10    5    0    2    1   10   10    4    3   10   10
28   10   10    0    2    0    0   10   10   10    7    7    2
29   10  -999   3    0   10    1    0    8    0    0   10   10
30   10  -999   8    0   10    5    3    4    6   10   10    5
31   10  -999  10  -999   9  -999  10   10  -999  10  -999   7

1922
1    10    8    2    0    4    0    8   10   10    1    0   10
2    10   10   10    0    8    0    4    9   10    9    2    5
3     4   10    1    9    0    5    2   10   10    9    2   10
4     8   10   10    2    0    8   10   10    4    9    0   10
5    10    2    4    0    3    5    9    5   10    7   10    0
6    10   10   10    2   10    0    0    8    2    0   10    3
7     5   10    0    1    2    8   10   10    0    0    9   10
8     5   10    7   10   10    0   10   10    9    0    0   10
9     0    7   10    0   10   10    4    0    5   10   10   10
10    7    4   10    3    8    0    8   10    0   10    6   10
11    0    4   10   10    3   10    7   10   10   10    4   10
12    7   10    8    5    0   10    7    4    8    3   10   10
13    0    0    0    0   10    0   10   10   10    4   10   10
14   10    8    0   10   10   10   10   10    4    0   10    0
15   10   10    0   10   10    7   10   10   10    0   10   10
16    3    9    0    0    2   10    9   10    7    0   10   10
17    5    0    0    0   10   10   10    3    5    2   10   10
18   10   10    0    0    8   10   10   10   10    0   10    4
19    0   10   10    0   10   10   10    0    5    7   10    0
20    3    0    0    5   10    1   10   10   10    8   10    5
21    5    4    3    0   10   10    7   10   10   10   10    0
22    4   10   10    7   10   10   10    7    0    0   10    4
23   10    8    0    9    3   10   10    9   10   10    5   10
24   10   10   10    0   10    6    0   10   10   10    0   10
25   10    0    7   10    8    3   10    0   10   10    7    5
26   10    0    4    5    0   10    2   10   10   10   10   10
27   10    8   10    7   10   10    9    3    4    0    9    3
28    4    2    0    0   10    1   10    1    0    2   10   10
29   10  -999   2    4    5    9    0   10    8    8    7    8
30   10  -999  10    9    3   10    3   10    3    5    5    0
31    5  -999   0  -999   2  -999   4    8  -999  10  -999   0

1923
1    10   10   10    2    4    0   10    1   10    4   10   10
2     2    9    4    0    0    1   10   10    0   10   10    6
3     8    6    5    7    7   10    4    0   10    0    0   10
4    10    4   10   10   10   10   10    6   10   10    0   10
5     0   10    2   10   10   10    4    0    7    0   10    0
6    10   10    5   10    0   10    7   10   10    9    3   10
7    10    6    2    0    0    9    4   10    0    8   10   10
8    10   10    9    0    0   10   10   10   10   10    5    0
9     4   10    0    7    4    4   10    8    8    8    0   10
10    8    0   10   10    3   10    2   10    5   10    0   10
11    0    0   10    5    5   10    0    8   10    8   10    9
12    3   10    8    9    0   10   10   10   10   10   10   10
13   10   10    4    9    0    8    0    5    4   10    8    7
14   10    2   10    9    8   10   10    5    0    0    2    0
15    7   10   10    4    7   10    8    8    0   10    2   10
16   10   10   10    0    9    8    7   10   10   10   10    8
17    0   10    0   10    9   10    0    8    3   10   10    8
18   10   10    0   10   10   10    6   10    5   10    2    8
19    5   10    0    4   10    9   10   10    3    6    2    3
20    7   10   10    0    8   10   10   10   10   10    0   10
21    9    2    8   10   10   10   10    2   10    6    7   10
22    0    2    6    0   10   10   10    1    4    5   10    0
23   10    8    0    0    0   10    8    8    4    0    1    8
24    1   10    3   10    1   10   10    7   10    1    9    0
25   10    9    0    8    4   10    1    9    3    1   10   10
26   10    8   10    0    7    0    0    2   10   10    4   10
27   10    2   10    9    8   10   10    4   10   10   10   10
28   10   10    3    3    2    4    9    1   10    5    9    0
29    8  -999   0   10    4    9    8    0    0   10    0   10
30   10  -999   4    3    0   10    7    5   10    5   10    8
31    5  -999  10  -999  10  -999   0    8  -999   7  -999  10

1924
1    10    0   10    0    6   10   10    6    9   10    0   10
2     0   10    0    0    9   10    4    6   10    0    4   10
3    10    6   10   10    0    9    3   10    0    3    4   10
4    10   10    0    0   10    3    8   10    4   10   10   10
5    10   10    0    8   10   10   10    5    2    0   10    8
6    10    7    5    2    0    0   10    0   10    3    2    3
7     0   10    8    9   10   10   10    7   10    3    0   10
8    10   10   10    5    5   10   10    1   10    2    0   10
9    10    0    4    2   10   10    2   10    2   10    1    1
10    3    5    0    0   10    3    6   10   10    0    3    3
11   10   10    0   10    9   10    0    5   10   10    0    3
12   10   10    2    1    9    6    5    5    0   10    0   10
13    3    6    9    0    7    5    4    8    5    0   10    0
14   10    3    5    1    0   10   10    4    2    0    8    2
15   10    0    6    0    1    3   10    4    0   10    6    5
16   10    2    0    0    9   10    7    4    5    7    2    4
17   10   10    0    2    2   10    8   10    1    2   10   10
18    8    0    3   10    3    1    9    0    1   10    9    3
19    5   10   10   10   10    5    3   10   10    3    9    0
20   10    8    0   10   10   10    1   10   10   10   10    8
21    8    0   10   10    0    6    5    5    4   10   10    9
22    2   10   10    7    9   10    4    5   10   10   10   10
23   10    7   10   10    5    9    1   10    1    0   10    0
24    0   10   10    5    4    2    4   10    4    8    8    0
25   10    8   10    9    8    6   10   10    0   10   10   10
26   10   10   10   10   10    9    0    1   10    0   10   10
27    0    4   10    0   10    0   10   10    0   10    7    0
28   10   10   10    0    8   10   10   10   10    9   10    0
29   10    8    8    9    0   10   10   10   10    7    2   10
30   10  -999   5    3    0    4    8   10    0    2    2    3
31    0  -999   0  -999  10  -999   8    7  -999   2  -999   1

1925
1     0   10    1    5   10    7    4    8    1    0    0    7
2     0    0    0    0    5    5    3   10   10   10    2    8
3    10    2    8    3   10   10    0    9   10   10    0    9
4     0    5    3   10    6    3    8   10    9   10   10    0
5     2    1   10    0    1   10   10    9    8   10    0    1
6    10   10   10    4    1    1   10    9   10   10   10   10
7     9   10    4    5   10    0    6    2    8   10   10    5
8     9    3    3    2    9    0    3   10   10    0    4    1
9     0    1    1   10   10    1   10    1    3    0    0    6
10    8   10    7    1   10    0   10    0   10    0    0    4
11   10    9    0    0    5    5    0   10    2    6    0    1
12    1    0   10    2    5    0   10    4    0   10    2    0
13   10    0   10    0   10   10    2    9    8    2    6    6
14    8   10   10   10    0    0   10    0    8    2   10    9
15    0   10   10    7   10    2    9    1   10   10   10   10
16    2   10   10    4   10   10   10    0    0   10    0    8
17   10   10   10   10   10    3   10    0    5    2    0    4
18   10    0   10   10   10    0   10   10   10    3    0   10
19   10    0   10    0   10   10    5    8   10   10    0   10
20   10   10    1    0    0    3    0    7    9    7   10   10
21   10    1    0   10   10    2    2    7    8    3   10   10
22   10   10   10    0   10    2    6    3   10    7    7    0
23    0    0    6    0    9    1    6    3    6    2    8   10
24    7    1    5    6   10    2    0    1    9    0    5    0
25   10   10    0    3    1   10   10    7    4   10   10   10
26   10   10    0    1   10    5   10    7    2    2    9    3
27   10    1    4    0    4   10   10    2   10    4    5    3
28    0   10   10    3    9    5   10   10   10   10    9    8
29    4  -999  10    3    9   10   10    4    9   10    5   10
30   10  -999   5    0    5    6    0   10    1   10    0    9
31    4  -999   4  -999   6  -999   8   10  -999   2  -999   0

1926
1     8    0   10    2   10    0    8   10    3   10   10   10
2    10    5   10   10    0    0    0    5    0   10   10   10
3    10    9   10   10    0    9    1    2    0    7   10    5
4     0   10    0    0    7    0   10    2   10    5   10   10
5    10   10   10   10    3    0    7   10    8   10    0    4
6     3    3   10    7    9    1   10    7   10    9    0    8
7     1   10   10    8    0   10    0   10    1   10    0    8
8    10   10    9    7    6    7   10    5   10   10    3    7
9    10   10   10    5   10   10    6   10   10    2    0   10
10   10   10    2    9    5   10    3    4    8    4    1   10
11    8   10   10    0    1   10    7    2    7    7    5   10
12    0    0   10    0    1    8    0   10    1   10   10   10
13    0   10   10    2    1    1    1    6    7   10    5   10
14    4   10    8   10    3    8    0    9   10    8    6    0
15   10    0    0    4    0    4    1   10    2    7    8    3
16   10    7    2    4    7    4    7    8   10    1   10   10
17   10    9    0    2    9   10    5   10    9    0    6    7
18   10   10   10    1   10    9   10    0    7    0   10    9
19    4   10    0    3    2   10   10    6   10   10    2    2
20   10    9    0    0    8   10   10    2    0    0    3    0
21   10    5    8    9    4    3    4    3    5    0   10    9
22   10    3    9    8    2    9   10    1    1    9    1    9
23    5   10    9    0    9    0   10    9   10    5   10   10
24    8    9    9    6   10    7    8    8    2    6   10   10
25    8   10    9    9   10   10    3    9    7    0   10    8
26   10   10    9    2    2    9    0    0    3    1   10    8
27    2    3    7   10    6    9   10    7    9   10    5   10
28   10    8    3   10   10    8   10    2    9   10   10   10
29   10  -999   7   10    2    3   10    8   10    0   10   10
30    0  -999   8   10    7    4    0   10    5    0    0   10
31    9  -999  10  -999   0  -999   3   10  -999   1  -999   4

1927
1    10    0   10    0   10    4    3    9    0    5   10    4
2    10   10   10    2    9    1    7   10    4    0   10    9
3     2   10   10   10    9    1   10    8    0    2    5   10
4    10    0    3    0    8    1   10    7    1   10    9    3
5    10    0    4    0    0   10    0   10    9    9   10   10
6     2    9   10    8    1    9    7   10   10    0    3    9
7    10   10    7    1    0    9   10    3    8    3    3    0
8    10    5    0    0    3    1    0    2   10    0    1   10
9    10   10    8    5    8   10    5    8    4    0    0    5
10   10    0    0    1   10    2   10    7    2   10    9   10
11    1    0    2    4    1    0   10    7    7   10    9   10
12    8    5    0   10    9    1    4    4   10   10    0   10
13   10   10    9   10   10    4   10   10   10    4    0   10
14    3    8    2    0    7    0    3   10    0   10   10   10
15    5    0   10    1    8   10    0   10    1   10   10   10
16    4    9   10    9    8    8    0    1    0    8    9   10
17    8    3    0    9    1    9    4    1    9    0   10    0
18    5    5   10    6    7    5    1   10    9    4    9    8
19    2   10   10   10    5   10    9    1    3    2   10   10
20    6    0    5   10    1   10    3    2   10    6   10   10
21    1    7   10    5    8    1   10    7   10   10   10    5
22    0    1   10   10    2    5   10    0    5    5    2   10
23    0    2    0    3    9   10   10    2    5   10   10   10
24    8    0   10   10   10    4    7    7    2   10    0   10
25    0    0    4    0    1    7    8   10    1   10    3    4
26    3   10   10    0    0   10    8   10    0    9   10    0
27   10    2    8   10    1    7    5   10    0    0    2    0
28    0   10   10    7    2   10    0    1   10   10    1    0
29    3  -999  10    7    0    5   10    2    0    2    3    5
30    2  -999   0    8    0   10    3    0   10   10    3    6
31    0  -999  10  -999   4  -999   0    5  -999   6  -999   0

1928
1    10    8    0    0    4    0    3    1    5    9    0   10
2     7    4    2   10    9    0    2    7    9   10    0   10
3    10   10    0    0    7    0    7    8   10   10   10    3
4     6    9   10    0    0    0   10    0   10   10   10   10
5    10    1   10    0    1   10    9    3    0    5    2    8
6     5    9    9    1    0    9    5   10   10    9    3    8
7     8   10    4    3    2    9    6    3    2   10    7    2
8     5   10    5   10    0   10    6    5    2    8    0    0
9     8    1   10   10    4   10    2    1   10    1    3   10
10    1    4    0    0    4    3   10   10    3   10    4   10
11    5    0    0    0   10    2    2    8    3    6    3   10
12    5    8   10   10    9   10    8    5    0    0   10    0
13    4    0    3   10    1   10    8    8    0    3    2   10
14    0    8   10   10    4    1    0    4    2    5   10    1
15   10    8    2    3    8    7    0    7    6   10    0   10
16    5    6   10    5    5    5    5    3   10   10    3    0
17   10    0   10    7   10    7    8   10   10    2    0   10
18   10   10    5    1   10    9   10   10    0    2    5   10
19   10   10   10    0    4    1   10   10    0    9    3   10
20    2   10    3    0    1    6   10   10    3    0    9   10
21    2   10   10    0    2    1    3    4    2   10    9   10
22    0    0    0   10    8    5   10    1    0    0    2    0
23    5    0   10    9    6    1    9    2    9    1    8   10
24    8    0    8    9    4   10   10    4    9    2    9    0
25    9    8    0    2    1   10    6    5    0    8    3   10
26   10    8   10    8    9    7   10    8    0   10    6    0
27   10    0    4   10   10    9    7    8    2    1    5   10
28    2    2    0    0    0   10    4    1    7    2   10   10
29    0   10   10    0    0    7    0    2    1   10   10   10
30    2  -999  10    0    7    4    8    9    2    5   10    5
31    6  -999   6  -999   0  -999   4    7  -999   6  -999   0

1929
1     3    2    2    1    9   10   10    7    0   10   10   10
2     8    3   10    1    9    7    8   10   10    0    5    0
3    10    5    1    0   10   10    7    8    0    0    2   10
4    10   10    0    6    4    0    2    0    7    0   10    8
5    10   10   10    0    0   10    3   10    0    9    0   10
6    10   10    0    5    1    1    1    8    0    2    8    5
7    10   10    2    0   10    8    4    8    0   10   10    2
8    10    5    0    9    8    0    7   10    0   10    2   10
9    10    0    0    4   10   10   10   10    2   10   10    4
10   10    3    0    0   10    1    9   10    0   10    2    9
11    2   10    0    0    6    1    2    4    5    8    9    3
12   10    5    0    0    1   10    3    7    0   10    4   10
13   10    5    0    1    5    7    0    3    1    6    0   10
14   10    7    0    0    9    3    0    3    8   10    3    3
15    8   10    0    0    1    5    3    9    7   10   10    3
16    3    9   10    1    0    9    4    1    2    6    4    0
17   10    6    0   10    7   10    1    9    0    8    3    9
18    2   10    3   10   10   10    4    2    7    1   10    0
19    6    9    3    5    0    3    1    9   10   10    9   10
20    3   10    6    0    6    4    0    9   10    2    2   10
21    9    8    0    2   10   10   10   10    2   10    9    6
22   10   10    8   10   10    9    1   10   10    9    7    0
23   10   10   10    4   10    2    0   10    2   10    0    9
24    0   10   10    1    0    0    8    3   10    0   10   10
25    2   10    5    4    6    2    8    3    0    0    8    8
26    2   10    0    9    0    8    0    0    0    0    0   10
27    3    0    0   10    6    0   10   10    1   10   10    0
28   10   10    0   10    0    1   10    0    5    7   10   10
29   10  -999   0   10    0    0    7   10    0    2    0    0
30   10  -999   0   10    2    7   10    8    0    0   10    0
31   10  -999   9  -999   0  -999   7   10  -999   5  -999  10

1930
1     5   10    0    1    0    7    7   10    3    9   10   10
2    10   10   10   10    2    5    9    8    0   10    7    2
3    10    0   10   10    7    0    4    6    0   10    5    0
4     0   10   10    9    0    3    5    2   10    9    0   10
5     1    0   10    0    2    8   10    6    8    2    0   10
6    10    0    0    0    6    7   10    1    2    2    1   10
7    10    1    9   10    7    0   10   10    3   10   10    2
8     9    9   10   10    9    7   10   10   10    6   10    1
9    10    0    5   10    5   10   10   10    1    7    1    1
10    8    9    6   10   10    8    8    8    0   10    3   10
11    8    9    9    8    6    0    0    2   10    0    9    8
12    0    0   10    8   10    3   10   10    7    0   10   10
13    5    0   10    9    2    0    8   10   10    9   10    0
14    0   10   10    0    1    1   10    6    2   10   10    0
15    0    2    8    0    0    7   10    0    2    1    0   10
16   10    7    6    9    5    2   10    6   10    6    0    2
17   10    0   10    0    3    3    9   10   10    6   10   10
18   10    0   10    3    8    5   10   10    0    0   10   10
19    2    0    0    0   10   10    9    4   10    0    8   10
20    0    4    5    8   10    0    9   10    0    6   10    1
21   10    5    0    0   10    6    6   10    7    9    6   10
22   10   10    6    5    0    6    7    2   10   10    1    8
23    1   10    0   10    3    5   10    9    5    3   10    8
24    0   10   10   10    3    1   10    5    8   10    2   10
25    0   10   10   10    2    6   10   10    2    0   10   10
26   10   10   10   10    6    9    8    0    0   10    0    5
27    0    0    7   10   10    5    5   10   10    8    0    5
28   10   10    1    2    0   10   10   10   10   10   10    8
29    2  -999   0    0    9    5    4    0   10   10    0    0
30    0  -999  10    0    6   10    3   10    0   10    4   10
31   10  -999  10  -999   3  -999  10    0  -999  10  -999   1

1931
1     8    9    2   10    1   10    6    8   10   10   10    8
2     0    9    8    1    0   10    1    2   10    0    8    8
3     3    5    7    4    5    4    7    0   10   10   10    9
4     0    0   10   10    0   10    7    0    0    8    8    5
5     0   10   10   10   10   10    6    0    0   10   10   10
6     1    0    6   10    8   10   10   10    0   10    4    0
7     4    5    8    6    9   10   10   10    0    0    0   10
8     2   10    9    8    0    3    8    3    2   10   10    0
9     5   10    0    2   10   10   10   10    5    0    2   10
10   10    0    0    5    9    7    4    0    0    2    5   10
11    5    4    9   10    1   10   10   10   10   10    8    6
12    8    3    3    2   10    3    6   10    5    0    0   10
13    4    4    1   10    8   10   10   10    3    0   10   10
14    9   10    0    2    8   10    5   10   10   10    5    7
15   10   10    0    7    1   10    4    6   10    1    0   10
16    0    5    0   10    1    0    9   10   10    0    5   10
17    4    0    2   10    0    8   10    0   10   10   10   10
18   10    2   10    9    8   10    8   10   10   10    0   10
19   10   10   10   10    4    1    9   10    0   10    9    8
20    3    3   10    8    3   10    5    8   10    0    0    9
21   10    0    9   10    9   10   10    0    2    7    0    0
22   10    0    0    7    0   10    7    1    0    0   10    0
23    3    2   10   10    7   10   10    0    9    0    2   10
24    8   10    0    8    3    0   10    5   10    0    5   10
25    8   10    0    5    8    8   10    2   10    2    8   10
26    1    4    0    9    4    6    8    7   10    3    4   10
27   10    5    7    7   10   10    8    9   10   10    8   10
28   10    5   10    0    8    8    1    4   10   10    9   10
29    0  -999  10    1    8    5    8    5   10   10    2    5
30   10  -999   8    7   10   10    9    0    1   10    0    0
31   10  -999   6  -999   9  -999  10    0  -999   3  -999  10

1932
1    10   10    0   10   10    0    9    1   10    2   10   10
2    10   10   10    2   10    4    6   10    6    0   10    0
3    10   10    0   10    0    4   10    4    0    0   10    0
4     2   10    7    0    1    0    9    8    9   10    5    9
5     9   10    8   10    4    2    5    6    0    5    0    4
6     0   10    3   10    7    9    7    9    0    5    0    1
7     0    0   10    2    8    9   10    5   10    2   10    0
8     0    0    0   10   10    8    7    5    9    3   10    8
9     3    0    0    8    2    5    5   10   10    6    9    9
10    0    9    6    0   10   10   10   10   10   10    0   10
11    0    8    0    0   10    0    5    9    8    0    4    4
12    7    2    3    1    0    1   10   10   10   10   10   10
13    0    8    0   10    3    8    9   10   10    0   10    9
14   10    0    0    8    2    0    0   10    8    5   10    0
15   10    0    0    3   10    3   10    5   10   10   10   10
16   10    5    0    1    1    1    5    3    8   10   10   10
17   10    0    9    0    4    0    0   10   10    1   10   10
18   10    0   10    5    7    1   10    3    1    5   10   10
19   10    6    7    6    5    2    4    1    0    8    3   10
20    9   10   10    4    3    0    9   10    0   10    0   10
21   10    9   10    2    1    1    6   10    0   10   10   10
22    8   10    1   10   10    7    2    5    0    1    3   10
23   10    2   10    3    2    6   10    0    0    2    3    9
24    5    9   10   10    0   10    8    1    6    5   10    2
25    0   10    4   10    1   10    5    0    8    5   10    0
26   10   10    1    0    7    5   10   10    0    0    3   10
27   10    0    3   10   10   10    7    0    0   10    7    9
28   10    9    0    3   10   10    9    2    5    1    5   10
29   10    0   10    9   10   10   10   10    5    5    4    1
30   10  -999   0    6    9   10    2    2   10    2   10    0
31    8  -999   4  -999   4  -999   5   10  -999   2  -999   7

1933
1    10    0   10    0   10   10    2   10   10   10   10   10
2    10    0   10   10   10    5    0   10    2    9    4   10
3     4   10   10    9   10    6    0   10    5    4    0    0
4    10   10    7   10    4    4    0    4    3    9   10    1
5    10   10    5    2    2    0    2    5    1   10    8    0
6     0   10    3   10    2    0    3    0    0   10   10    1
7     8   10    0    2    2   10    1   10    1   10    9   10
8    10    5   10    5    5    4    1    6    0    4   10   10
9     2    8   10   10   10    1   10    0    0    0    7    3
10   10    9    8    9    1    9    8    8    0    7    0   10
11    0    7    0    9   10    2    2    5    0    0   10   10
12   10    6    0    0   10    2   10    4    0    4   10   10
13    0   10   10    0    6    3   10    5    6   10    0    1
14   10    0    8    0    0    0    8    3    0   10   10    0
15    0    0   10   10   10    8    8    3    0    1   10    0
16   10   10    2    8    9    8    8    7    0    0    0   10
17    0    5    0    0   10   10   10    5    7    0    0   10
18   10    0    6    1    6    5    8    6    0   10   10   10
19   10    0    5    5   10    5    4    0   10   10   10   10
20    4    2    0    5    5    2    9    8    0    0   10   10
21    7    0    0    0    2    8    7    5    3   10    0    7
22    0    0    7   10    8   10    8   10    8    8    0   10
23    0    2    6    3    0   10    3    2    0   10    0   10
24    0   10    0   10    0    5   10   10    7   10    8   10
25   10    3   10    9    9    0    7    0    0    0    5    9
26   10    0    0    8    9    2    2    3    0   10    9    0
27    8   10    0    8    1    1    3   10    0   10    2   10
28    0   10    0    7    0    9    9   10   10    0   10   10
29   10  -999   0    3    2    8    0    1    7    3   10   10
30    9  -999   0   10    9    4   10    2    9   10   10    0
31   10  -999   2  -999   9  -999   9   10  -999   2  -999  10

1934
1    10   10    6   10   10    0    7   10   10    0    4   10
2     7    7    1   10   10    0    5    9   10    0   10   10
3    10   10    2    3    9    0    3    1    3    0   10    9
4     0   10    0    0   10    0    0    1    7    2    0   10
5     7   10    4    0    0    0    1   10    0    0    0    0
6    10   10    0    0    8    1    2   10   10    6    0   10
7     0    3    0   10   10    3    0   10   10    0   10   10
8     0    0    4    6    9    9    0   10    4   10   10   10
9    10   10   10    8   10    2    0   10    0   10   10    1
10   10    4   10    1    7    2    0    7    0   10   10    0
11    6    0   10   10    7    0    2   10    0    1    1   10
12    0   10   10    0    9    4    8   10    0   10   10    7
13   10    0    0   10    6    6    4    8    0    8    0   10
14    0    0    2    0    1   10    8    1    0    0    0    3
15    6   10    0   10    3    4    8    8    0    0    0    9
16   10    0    0    4    2    7   10    2   10    8   10    7
17   10    3    0    2    0    2    5    0    0   10    9    9
18    0    0    0    0    8   10    1   10    6   10    7    9
19    0    7    6    0    4    8   10    5   10   10   10    8
20   10   10    0   10    9    9   10   10    2   10    7   10
21   10   10   10    2   10   10    8    8   10    8    8   10
22   10   10    4    3    2    0    1    7    4    0   10   10
23   10    6   10    7    1   10    6    6   10    7   10    8
24    6    0    0    1   10   10   10    6    8   10   10    7
25    9    0   10   10    0    7   10    0   10    2   10   10
26   10    0    0   10    7    9   10    8    2    9   10   10
27    8    4    0    1   10   10   10   10   10    3   10    0
28    7    1    0    6   10    2    8    5   10    7   10    0
